2025-01-14 01:05:36 LogWrapper init() ./logs/main.log
2025-01-14 01:05:36 Bot started with Trade Settings:
{'n_ma': 12, 'n_std': 2.0, 'maxspread': 0.04, 'mingain': 0.06, 'riskreward': 1.5}

2025-01-14 01:05:36 Bot started
2025-01-14 02:39:02 process_candles triggered:['GBPJPY']
2025-01-14 02:40:05 process_candles triggered:['GBPJPY']
2025-01-14 02:41:09 process_candles triggered:['GBPJPY']
2025-01-14 02:42:02 process_candles triggered:['GBPJPY']
2025-01-14 02:43:06 process_candles triggered:['GBPJPY']
2025-01-14 02:44:10 process_candles triggered:['GBPJPY']
2025-01-14 02:45:03 process_candles triggered:['GBPJPY']
2025-01-14 02:46:07 process_candles triggered:['GBPJPY']
2025-01-14 02:47:11 process_candles triggered:['GBPJPY']
2025-01-14 02:48:04 process_candles triggered:['GBPJPY']
2025-01-14 02:49:09 process_candles triggered:['GBPJPY']
2025-01-14 02:50:02 process_candles triggered:['GBPJPY']
2025-01-14 02:51:07 process_candles triggered:['GBPJPY']
2025-01-14 02:52:10 process_candles triggered:['GBPJPY']
2025-01-14 02:53:04 process_candles triggered:['GBPJPY']
2025-01-14 02:54:08 process_candles triggered:['GBPJPY']
2025-01-14 02:55:02 process_candles triggered:['GBPJPY']
2025-01-14 02:56:05 process_candles triggered:['GBPJPY']
2025-01-14 02:57:09 process_candles triggered:['GBPJPY']
2025-01-14 02:58:13 process_candles triggered:['GBPJPY']
2025-01-14 02:59:06 process_candles triggered:['GBPJPY']
2025-01-14 03:00:10 process_candles triggered:['GBPJPY']
2025-01-14 03:01:03 process_candles triggered:['GBPJPY']
2025-01-14 03:02:07 process_candles triggered:['GBPJPY']
2025-01-14 03:03:11 process_candles triggered:['GBPJPY']
2025-01-14 03:03:11 Place Trade: TradeDecision(): GBPJPY dir:1 gain:0.0717 sl:191.8847 tp:192.0042
2025-01-14 03:04:05 process_candles triggered:['GBPJPY']
2025-01-14 03:05:09 process_candles triggered:['GBPJPY']
2025-01-14 03:06:02 process_candles triggered:['GBPJPY']
2025-01-14 03:07:06 process_candles triggered:['GBPJPY']
2025-01-14 03:08:20 process_candles triggered:['GBPJPY']
2025-01-14 03:09:02 process_candles triggered:['GBPJPY']
2025-01-14 03:10:06 process_candles triggered:['GBPJPY']
2025-01-14 03:11:10 process_candles triggered:['GBPJPY']
2025-01-14 03:12:03 process_candles triggered:['GBPJPY']
2025-01-14 03:13:07 process_candles triggered:['GBPJPY']
